Codebook 2020,,,,,,,,,,,,,,
Variable,Type,Description and Labels,Response Codes,Section,Availability,Template,Notes,Preserved,Handle1,Target1,Handle2,Target2,Special mapping,NaiveScale
FUELAUX,Num,Secondary space heating fuel,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood or pellets
99 Other
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,,,,,,
USEEQUIPAUX,Num,Secondary heating equipment usage,"1 Use all or almost all of the time
2 Use at least once per week
3 Use a few times per month
4 Use only when it is very cold
5 Use only in rare situations, such as when a guest is visiting
-2 Not applicable",SPACE HEATING,,Heating,Numerical,1,,,,,1,1
NUMPORTEL,Num,Number of portable electric heaters used,"1 - 9
-2 Not applicable",SPACE HEATING,,Heating,Numerical,1,-2,0,,,,
NUMFIREPLC,Num,Number of fireplaces used,"1 - 7
-2 Not applicable",SPACE HEATING,Imputable,Heating,Numerical,1,-2,0,,,,
NUMDLHP,Num,Number of ductless heat pump units used for heating,"1 - 8
-2 Not applicable",SPACE HEATING,,Heating,Numerical,1,-2,0,,,,
BASEHEAT,Num,Heating used in basement,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,-2,0,,,,
ATTCHEAT,Num,Heating used in attic,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,-2,0,,,,
GARGHEAT,Num,Heating used in attached garage,"1 Yes
0 No
-2 Not applicable",SPACE HEATING,,Heating,Categorical,1,-2,0,,,,
HUMIDTYPE,Num,Type of humidifier used,"1 Yes, a portable humidifier
2 Yes, a whole-home humidifier
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
NUMPORTHUM,Num,Number of portable humidifiers used,"1 - 8
-2 Not applicable",SPACE HEATING,,Heating,Numerical,1,-2,0,,,,
USEHUMID,Num,Humidifier household usage,"1 Use only occasionally, such as when someone in the household is sick 
2 Use only during winter months
3 Use about half of the year
4 Use all or almost all of the year
99 Other 
-2 Not applicable",SPACE HEATING,,Heating,Numerical,1,,,,,1,1
ELWARM,Num,Electricity used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
UGWARM,Num,Natural gas used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
LPWARM,Num,Propane used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
FOWARM,Num,Fuel oil used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
WDWARM,Num,Wood used for space heating; a derived variable,"1 Yes
0 No",SPACE HEATING,,Heating,Categorical,1,,,,,,
AIRCOND,Num,Air conditioning equipment used,"1 Yes
0 No",AIR CONDITIONING,Known,AC,Categorical,1,,,,,,
COOLAPT,Num,Main air conditioning equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
ACEQUIPM_PUB,Num,Main air conditioning equipment type - public file variable,"1 Central air conditioner (includes central heat pump)
3 Ductless heat pump, also known as a “mini-split”
4 Window or wall air conditioner
5 Portable air conditioner
6 Evaporative or swamp cooler
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,,,,,,
ACEQUIPAGE,Num,Age of main air conditioning equipment,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,,,,,1,1
ACEQUIPAUXTYPE_PUB,Num,Secondary air conditioning equipment type - public file variable,"0 No other equipment used
1 Central air conditioner (includes central heat pump)
3 Ductless heat pump, also known as a “mini-split”
4 Window or wall air conditioner
5 Portable air conditioner
6 Evaporative or swamp cooler
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,,,,,,
NUMDLHPAC,Num,Number of ductless heat pump units used for air conditioning,"1 - 9
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,-2,0,,,,
NUMWWAC,Num,Number of window or wall air conditioners used,"1 - 9
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,-2,0,,,,
NUMPORTAC,Num,Number of portable air conditioners used,"1 - 8
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,-2,0,,,,
BASECOOL,Num,Air conditioning used in basement,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
ATTCCOOL,Num,Air conditioning used in attic,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
GARGCOOL,Num,Air conditioning used in attached garage,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
NUMCFAN,Num,Number of ceiling fans used,0 - 15,AIR CONDITIONING,,AC,Numerical,1,,,,,,
NUMFLOORFAN,Num,Number of floor or window fans used,0 - 10,AIR CONDITIONING,,AC,Numerical,1,,,,,,
USECFAN,Num,Most-used ceiling fan usage,"1 Use only occasionally, such as when it is very hot or when guests are over
2 Use only during summer months to stay cool
3 Use about half of the year
4 Use all or almost all of the year, such as for white noise or air circulation
99 Other 
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,,,,,1,1
HOUSEFAN,Num,Any whole house cooling fans used,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
ATTICFAN,Num,Any attic exhaust fans used,"1 Yes
0 No
-2 Not applicable",AIR CONDITIONING,,AC,Categorical,1,-2,0,,,,
DEHUMTYPE,Num,Type of dehumidifier used,"1 Yes, a portable dehumidifier
2 Yes, a whole-home dehumidifier
0 No",AIR CONDITIONING,,AC,Categorical,1,,,,,,
NUMPORTDEHUM,Num,Number of portable dehumidifiers used,"1 - 8
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,-2,0,,,,
USEDEHUM,Num,Dehumidifier usage,"1 Use only occasionally, such as when someone in the household is suffering from allergies
2 Use only during summer months
3 Use about half of the year
4 Use all or almost all of the year
99 Other 
-2 Not applicable",AIR CONDITIONING,,AC,Numerical,1,,,,,1,1
ELCOOL,Num,Electricity used for air conditioning; a derived variable,"1 Yes
0 No",AIR CONDITIONING,,AC,Categorical,0,,,,,,
TYPETHERM,Num,Type of thermostat used,"1 Yes, a manual or non-programmable thermostat
2 Yes, a programmable thermostat
3 Yes, a “smart” or Internet-connected thermostat
0 Does not have thermostat for heating or cooling
-2 Not applicable",THERMOSTAT,,Heating,Categorical,1,-2,0,,,,
HEATCNTL,Num,Winter temperature control method,"1 Set one temperature and leave it there most of the time
2 Manually adjust the temperature 
3 Programmable or smart thermostat automatically adjusts the temperature
4 Turn equipment on or off as needed
5 Our household does not have control over the temperature
99 Other 
-2 Not applicable",THERMOSTAT,,Heating,Categorical,1,,,,,,
TEMPHOME,Num,Winter thermostat setting or temperature in home when someone is home during the day,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
TEMPGONE,Num,Winter thermostat setting or temperature in home when no one is home during the day,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
TEMPNITE,Num,Winter thermostat setting or temperature in home at night,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
COOLCNTL,Num,Summer temperature control method,"1 Set one temperature and leave it there most of the time
2 Manually adjust the temperature 
3 Programmable or smart thermostat automatically adjusts the temperature 
4 Turn equipment on or off as needed
5 Our household does not have control over the temperature
99 Other 
-2 Not applicable",THERMOSTAT,,Heating,Categorical,1,,,,,,
TEMPHOMEAC,Num,Summer thermostat setting or temperature in home when someone is home during the day,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
TEMPGONEAC,Num,Summer thermostat setting or temperature in home when no one is home during the day,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
TEMPNITEAC,Num,Summer thermostat setting or temperature in home at night,"50 - 90
-2 Not applicable",THERMOSTAT,,Heating,Numerical,1,,,,,1,
H2OAPT,Num,Water heating equipment serves multiple housing units in building,"1 Yes
0 No
-2 Not applicable",WATER HEATING,Known,DHW,Categorical,1,-2,0,,,,
H2OMAIN,Num,Location of main water heating equipment in single-family home,"1 Main living space
2 Basement
3 Garage
4 Outside
99 Other 
-2 Not applicable",WATER HEATING,,DHW,Categorical,1,-2,0,99,0,,
WHEATSIZ,Num,Main water heater size,"1 Small (30 gallons or less)
2 Medium (31 to 49 gallons)
3 Large (50 gallons or more)
4 Tankless or on-demand",WATER HEATING,,DHW,Numerical,1,,,,,1,1
WHEATBKT,Num,Main water heater has blanket,"1 Yes
0 No
-2 Not applicable",WATER HEATING,,DHW,Categorical,1,-2,0,,,,
WHEATAGE,Num,Main water heater age,"1 Less than 2 years old
2 2 to 4 years old
3 5 to 9 years old
4 10 to 14 years old
5 15 to 19 years old
6 20 or more years old",WATER HEATING,,DHW,Numerical,1,,,,,1,1
FUELH2O,Num,Fuel used by main water heater,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood
8 Solar thermal
99 Other ",WATER HEATING,,DHW,Categorical,1,,,,,,
MORETHAN1H2O,Num,Has more than one water heater,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
FUELH2O2,Num,Fuel used by secondary water heater,"5 Electricity
1 Natural gas from underground pipes
2 Propane (bottled gas)
3 Fuel oil
7 Wood
8 Solar thermal
99 Other 
-2 Not applicable",WATER HEATING,,DHW,Categorical,1,,,,,,
ELWATER,Num,Electricity used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
FOWATER,Num,Fuel oil used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
LPWATER,Num,Propane used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
SOLWATER,Num,Solar used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
WDWATER,Num,Wood used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
UGWATER,Num,Natural gas used for water heating; a derived variable,"1 Yes
0 No",WATER HEATING,,DHW,Categorical,1,,,,,,
LGTIN1TO4,Num,Number of inside light bulbs turned on 1 to 4 hours per day,0 - 90,LIGHTING,,Lighting,Numerical,1,,,,,,
LGTIN4TO8,Num,Number of inside light bulbs turned on 4 to 8 hours per day,0 - 84,LIGHTING,,Lighting,Numerical,1,,,,,,
LGTINMORE8,Num,Number of inside light bulbs turned on more than 8 hours per day,0 - 99,LIGHTING,,Lighting,Numerical,1,,,,,,
LGTINLED,Num,Portion of inside light bulbs that are LED,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,,Lighting,Numerical,1,,,,,1,
LGTINCFL,Num,Portion of inside light bulbs that are CFL,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,,Lighting,Numerical,1,,,,,1,
LGTINCAN,Num,Portion of inside light bulbs that are incandescent or halogen,"1 All 
2 Most 
3 About half 
4 Some 
0 None ",LIGHTING,,Lighting,Numerical,1,,,,,1,
LGTOUTANY,Num,Any outside light bulbs left on all night,"1 Yes
0 No",LIGHTING,,Lighting,Categorical,1,,,,,,
LGTOUTNITE,Num,Number of outside light bulbs left on all night,"1 - 65
-2 Not applicable",LIGHTING,,Lighting,Numerical,1,,,,,1,
LGTOUTLED,Num,Any outside LED bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,,Lighting,Categorical,1,-2,0,,,,
LGTOUTCFL,Num,Any outside CFL bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,,Lighting,Categorical,1,-2,0,,,,
LGTOUTCAN,Num,Any outside incandescent or halogen bulbs left on all night,"1 Yes
0 No
-2 Not applicable",LIGHTING,,Lighting,Categorical,1,-2,0,,,,
ELPAY,Num,Who pays for electricity,"1 Household is responsible for paying for all electricity used in this home
2 All electricity used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other",ENERGY BILLS,,,Categorical,1,,,,,,
NGPAY,Num,Who pays for natural gas,"1 Household is responsible for paying for all natural gas used in this home
2 All natural gas used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other
-2 Do not use natural gas",ENERGY BILLS,,,Categorical,1,,,,,,
LPGPAY,Num,Who pays for propane,"1 Household is responsible for paying for all propane used in this home
2 All propane used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other 
-2 Do not use propane",ENERGY BILLS,,,Categorical,1,,,,,,
FOPAY,Num,Who pays for fuel oil,"1 Household is responsible for paying for all fuel oil used in this home
2 All fuel oil used in this home is included in the rent or condo fee
3 Some is paid by the household, some is included in the rent or condo fee
99 Other 
-2 Do not use fuel oil",ENERGY BILLS,,,Categorical,1,,,,,,
SMARTMETER,Num,Home has an electricity smart meter,"1 Yes
0 No
-4 Don't Know",ENERGY BILLS,,Special,Categorical,1,-4,0,,,,
INTDATAACC,Num,Household member has viewed smart meter interval data,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,,,Categorical,1,-2,0,,,,
MEDICALDEV,Num,Any medical devices used at home,"1 Yes
0 No",ENERGY BILLS,,,Categorical,1,,,,,,
POWEROUT,Num,Any power outages for at least 24 hours in the past year,"1 Yes
0 No",ENERGY BILLS,,,Categorical,1,,,,,,
WHYPOWEROUT,Num,Reason for power outage,"1 Natural disaster or weather event
2 Unable to pay electric bills
3 Electric utility had a planned or unplanned blackout
99 Other
-2 No power outage ",ENERGY BILLS,,,Categorical,1,,,,,,
BACKUP,Num,Has back-up generator,"1 Yes
0 No",ENERGY BILLS,,,Categorical,1,,,,,,
SOLAR,Num,On-site electricity generation from solar; 'Not applicable' applies to apartment buildings with 2 or more units.,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,,Special,Categorical,1,-2,0,,,,
OUTLET,Num,Parks vehicle within 20 feet of an outlet,"1 Yes
0 No
-2 Not applicable",ENERGY BILLS,,,Categorical,1,-2,0,,,,
ELECVEH,Num,Household owns or leases an electric vehicle,"1 Yes
0 No",ENERGY BILLS,,Special,Categorical,1,,,,,,
EVCHRGHOME,Num,EV is charged at home,"1 Yes
0 No
-2 Not applicable
""."" Missing",ENERGY BILLS,,Special,Categorical,1,,,,,1,
ELOTHER,Num,"Electricity used, other than for space heating, water heating, air conditioning, or cooking; a derived variable",1 Yes,ENERGY BILLS,,,Categorical,0,,,,,,
UGOTH,Num,"Natural gas used, other than for space heating, water heating, or cooking; a derived variable","1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
LPOTHER,Num,"Propane used, other than for space heating, water heating, or cooking; a derived variable","1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
FOOTHER,Num,"Fuel oil used, other than for space heating or water heating; a derived variable","1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
USEEL,Num,Electricity used; a derived variable,1 Yes,ENERGY BILLS,,,Categorical,0,,,,,,
USENG,Num,Natural gas used; a derived variable,"1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
USELP,Num,Propane used; a derived variable,"1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
USEFO,Num,Fuel oil used; a derived variable,"1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
USESOLAR,Num,Solar thermal used; a derived variable,"1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
USEWOOD,Num,Wood used; a derived variable,"1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
ALLELEC,Num,"Household only uses electricity. Does not use natural gas, propane, fuel oil, or wood; a derived variable","1 Yes
0 No",ENERGY BILLS,,,Categorical,0,,,,,,
HHSEX,Num,Respondent sex,"1 Female
2 Male",HOUSEHOLD CHARACTERISTICS,,Demographics,Categorical,1,,,,,,
HHAGE,Num,Respondent age (top-coded),18 - 90,HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,
EMPLOYHH,Num,Respondent employment status,"1 Employed full-time
2 Employed part-time
3 Retired
4 Not employed",HOUSEHOLD CHARACTERISTICS,,Demographics,Categorical,1,,,,,,
EDUCATION,Num,Highest level of education completed by respondent,"1 Less than high school diploma or GED
2 High school diploma or GED
3 Some college or Associate’s degree
4 Bachelor’s degree
5 Master’s, Professional, or Doctoral degree ",HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,1
SDESCENT,Num,Respondent is Hispanic or Latino,"1 Yes
0 No",HOUSEHOLD CHARACTERISTICS,,Demographics,Categorical,1,,,,,,
HOUSEHOLDER_RACE,Num,Householder (respondent) race,"1 White Alone
2 Black or African/American Alone
3 American Indian or Alaska Native Alone
4 Asian Alone
5 Native Hawaiian or Other Pacific Islander Alone
6 2 or More Races Selected",HOUSEHOLD CHARACTERISTICS,,Demographics,Categorical,1,,,,,,
NHSLDMEM,Num,Number of household members (top-coded),1 - 7,HOUSEHOLD CHARACTERISTICS,Imputable,Demographics,Numerical,1,,,,,,1
NUMCHILD,Num,Number of household members age 17 or younger (top-coded),0 - 4,HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,1
NUMADULT1,Num,Number of household members age 18 to 64,0 - 7,HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,1
NUMADULT2,Num,Number of household members age 65 or older,0 - 6,HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,1
ATHOME,Num,Number of weekdays someone is at home most or all of the day,"0 None
1 1 day
2 2 days
3 3 days
4 4 days
5 5 days",HOUSEHOLD CHARACTERISTICS,,Demographics,Numerical,1,,,,,,1
MONEYPY,Num,Annual gross household income for the past year,"1 Less than $5,000
2 $5,000 - $7,499
3 $7,500 - $9,999
4 $10,000 - $12,499
5 $12,500 - $14,999
6 $15,000 - $19,999
7 $20,000 - $24,999
8 $25,000 - $29,999
9 $30,000 - $34,999
10 $35,000 - $39,999
11 $40,000 - $49,999
12 $50,000 - $59,999
13 $60,000 - $74,999
14 $75,000 - $99,999
15 $100,000 - $149,999
16 $150,000 or more",HOUSEHOLD CHARACTERISTICS,Imputable,Demographics,Numerical,1,,,,,1,1
SCALEB,Num,Frequency of reducing or forgoing basic necessities due to home energy bill,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,,,Numerical,1,,,,,,1
SCALEG,Num,Frequency of keeping home at unhealthy temperature,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,,,Numerical,1,,,,,,1
SCALEE,Num,Frequency of receiving disconnection notice,"1 Almost every month
2 Some months
3 1 or 2 months
0 Never",ENERGY ASSISTANCE,,,Numerical,1,,,,,,1
PAYHELP,Num,Received energy assistance to help pay energy bills after disconnection notice,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOHEATBROKE,Num,Unable to use heating equipment in the past year because equipment was broken and could not afford repair or replacement,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOHEATEL,Num,Unable to use heating equipment in the past year because could not afford electricity and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOHEATNG,Num,Unable to use heating equipment in the past year because could not afford natural gas and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOHEATBULK,Num,Unable to use heating equipment in the past year because could not afford bulk fuel delivery,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOHEATDAYS,Num,Number of days unable to use heating equipment in the past year,"1 - 366
-2 Not applicable",ENERGY ASSISTANCE,,,Numerical,1,-2,0,,,,1
NOHEATHELP,Num,Received energy assistance to help restore heating,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
COLDMA,Num,Medical attention needed because home was too cold,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOACBROKE,Num,Unable to use air conditioning equipment in the past year because equipment was broken and could not afford repair or replacement,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOACEL,Num,Unable to use air conditioning equipment in the past year because could not afford electricity and it was disconnected,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
NOACDAYS,Num,Number of days unable to use air conditioning equipment in the past year,"1 - 366
-2 Not applicable",ENERGY ASSISTANCE,,,Numerical,1,-2,0,,,,1
NOACHELP,Num,Received energy assistance to help restore air conditioning,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
HOTMA,Num,Medical attention needed because home was too hot,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST,Num,Ever participated in home energy assistance program,"1 Yes
0 No",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST20,Num,Received home energy assistance in 2020,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST19,Num,Received home energy assistance in 2019,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST18,Num,Received home energy assistance in 2018,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST17,Num,Received home energy assistance in 2017,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASST16,Num,Received home energy assistance in 2016,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
ENERGYASSTOTH,Num,Received home energy assistance in some other year,"1 Yes
0 No
-2 Not applicable",ENERGY ASSISTANCE,,,Categorical,1,,,,,,
SQFTEST,Num,Respondent-reported square footage (rounded to the nearest 10),240-15000,YOUR HOME,,Building,Numerical,1,,,,,,
SQFTRANGE,Num,Respondent-reported square footage range,"1 Less than 600 square feet
2 600 to 799 square feet
3 800 to 999 square feet
4 1,000 to 1,499 square feet
5 1,500 to 1,999 square feet
6 2,000 to 2,499 square feet
7 2,500 to 2,999 square feet
8 3,000 square feet or more",YOUR HOME,,Building,Numerical,0,,,,,,
SQFTINCB,Num,Respondent-reported square footage includes basement,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Building,Categorical,1,,,,,,
SQFTINCA,Num,Respondent-reported square footage includes attic,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Building,Categorical,1,,,,,,
SQFTINCG,Num,Respondent-reported square footage includes garage,"1 Yes
0 No
-2 Not applicable",YOUR HOME,,Building,Categorical,1,,,,,,
TOTSQFT_EN,Num,"Total energy-consuming area (square footage) of the housing unit. Includes all main living areas; all basements; heated, cooled, or finished attics; and heating or cooled garages. For single-family housing units this is derived using the respondent-reported square footage (SQFTEST) and adjusted using the ""include"" variables (e.g., SQFTINCB), where applicable. For apartments and mobile homes this is the respondent-reported square footage. A derived variable rounded to the nearest 10",200-15000,YOUR HOME,,Building,Numerical,1,,,,,,
TOTHSQFT,Num,Square footage of the housing unit that is heated by space heating equipment. A derived variable rounded to the nearest 10,0-15000,YOUR HOME,,Building,Numerical,1,,,,,,
TOTCSQFT,Num,"Square footage of the housing unit that is cooled by air-conditioning equipment or evaporative cooler, a derived variable rounded to the nearest 10",0-14600,YOUR HOME,,Building,Numerical,1,,,,,,
ZACEQUIPAGE,Num,Imputation indicator for ACEQUIPAGE,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZADQINSUL,Num,Imputation indicator for ADQINSUL,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZAGECDRYER,Num,Imputation indicator for AGECDRYER,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAGECWASH,Num,Imputation indicator for AGECWASH,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAGEDW,Num,Imputation indicator for AGEDW,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAGEFRZR,Num,Imputation indicator for AGEFRZR,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAGERFRI1,Num,Imputation indicator for AGERFRI1,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAGERFRI2,Num,Imputation indicator for AGERFRI2,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZAIRCOND,Num,Imputation indicator for AIRCOND,"1 Imputed
0 Not imputed",AIR CONDITIONING,,,Categorical,0,,,,,,
ZAMTMICRO,Num,Imputation indicator for AMTMICRO,"1 Imputed
0 Not imputed
-2 Not applicable",APPLIANCES,,,Categorical,0,,,,,,
ZATHOME,Num,Imputation indicator for ATHOME,"1 Imputed
0 Not imputed",HOUSEHOLD CHARACTERISTICS,,,Categorical,0,,,,,,
ZATTCCOOL,Num,Imputation indicator for ATTCCOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZATTCHEAT,Num,Imputation indicator for ATTCHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZATTIC,Num,Imputation indicator for ATTIC,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZATTICFAN,Num,Imputation indicator for ATTICFAN,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZATTICFIN,Num,Imputation indicator for ATTICFIN,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZBACKUP,Num,Imputation indicator for BACKUP,"1 Imputed
0 Not imputed",ENERGY BILLS,,,Categorical,0,,,,,,
ZBASECOOL,Num,Imputation indicator for BASECOOL,"1 Imputed
0 Not imputed
-2 Not applicable",AIR CONDITIONING,,,Categorical,0,,,,,,
ZBASEFIN,Num,Imputation indicator for BASEFIN,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZBASEHEAT,Num,Imputation indicator for BASEHEAT,"1 Imputed
0 Not imputed
-2 Not applicable",SPACE HEATING,,,Categorical,0,,,,,,
ZBASEOTH,Num,Imputation indicator for BASEOTH,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZBEDROOMS,Num,Imputation indicator for BEDROOMS,"1 Imputed
0 Not imputed",YOUR HOME,,,Categorical,0,,,,,,
ZBLENDER,Num,Imputation indicator for BLENDER,"1 Imputed
0 Not imputed",APPLIANCES,,,Categorical,0,,,,,,
ZCABLESAT,Num,Imputation indicator for CABLESAT,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
ZCELLAR,Num,Imputation indicator for CELLAR,"1 Imputed
0 Not imputed
-2 Not applicable",YOUR HOME,,,Categorical,0,,,,,,
ZCELLPHONE,Num,Imputation indicator for CELLPHONE,"1 Imputed
0 Not imputed",ELECTRONICS,,,Categorical,0,,,,,,
ZCOLDMA,Num,Imputation indicator for COLDMA,"1 Imputed
0 Not imputed",ENERGY ASSISTANCE,,,Categorical,0,,,,,,
ZCOMBODVR,Num,Imputation indicator for COMBODVR,"1 Imputed
0 Not imputed
-2 Not applicable",ELECTRONICS,,,Categorical,0,,,,,,
